sentiment,review_body,product_category
1,What a beautiful harbinger of spring! this blouse is so lovely and uplifting. for me  tts. i bought the size 4 (34-b) and it fits perfectly. this is a fitted blouse especially in the waistline so  i understand why some say size up. the print is pretty with muted shades of pinks and burgundies. the detailing of beige lace and the tiny buttons on the waist adds a very feminine touch along with the added interest on the back of the blouse. the fabric is soft but not overly sheer.,Blouses
1,This top is a lot more striking in person. on  it's quite stunning. it is a tad short but that's part of the aesthetic and i don't find it unflattering. however  the first time i wore it one of the black rope/thread details disintegrated and fell apart. i tried to reinforce the end and reattach it but it just came apart again. i understand the nature of the top makes it more delicate  but this was definitely disappointing. i mentioned it when i went back into the store and the sales girl sympath,Blouses
1,Being somewhat on the 'fluffy' side  the style is very flattering and forgiving and will be ideal for summer. i am between a size 14 and a 16 and the 14 fits perfectly. light and airy a very nice  simple embroidery in contrasting color. very chic in an effortless way. the armholes are just right--not too big! the color is definitely a creamy ivory. worth the cost because i don't think it will be available for too long.,Blouses
1,Super comfortable..great layering piece or by itself...got lots of compliments at work.,Blouses
1,This blouse is very beautiful and flattering. it's just a little bit see through so i will wear a cami underneath. as with sizing i did size up as the other commenters recommended to do so.,Blouses
1,"I'm so happy i decided to take a chance and order this top. it is gorgeous! so flattering on  the perfect length  beautiful colors. i could go on and on. peplums can be tough but this one hits perfectly on me. runs true to retailer sizing so stick with what you normally order. i'm 5'6"" and 125lb and the s was for me.",Blouses
1,I love this top  it is a very soft material and it looks very classy.. i have worn it with a skirt for work and skinny jeans. i have a bigger bust and i wear a small  it is true to size. very classy!!,Blouses
-1,Loved it online for its modern cut and print. however  when i received the item i was disappointed. i ordered my usual size 4 and i was swimming in it. i like oversized things and understand that this dress is made that way; however  this was not flattering. i would say i would have needed to size down to a 0 and perhaps it would work but i didn't want to take another chance. the material seemed almost crepey  which i wasn't neccissarily expecting either. bummer that it didn't work out.,Dresses
-1,I thought the dress was ok  but was surprised by the cut away triangles of material right under bra band on the sides of dress. i will send back  also a bit too high waisted for me. other than that  the dress is as it appears.,Dresses
-1,"I really wanted to love this dress  but i think the proportions are very weird. i'm 5'7"" and usually go for an eight in unstructured dresses and a 10 in more structured dresses. it runs small throughout  and is too short for me to feel comfortable wearing to work. the front is nicely detailed  but the back looks weirdly forgotten and could use more detailing. i tried on three different sizes (8 10 and 12) and they all pulled weirdly at the chest. there's a little slip that goes with the dress  w",Dresses
-1,Looks great  the material feels great but when i put this dress on for the first time today it fell apart at the seams in the rib cage area. total disappointment! i had purchased this on sale for my graduation and was getting ready to walk out the door when i saw two holes on each side!,Dresses
-1,I loved how soft this dress was  as well as versatile. however  i only got to wear it one time because after the first wash  a giant fabric tear happened on one of the seams. unfortunately  the fabric is so soft  but rather thin  and it didn't hold. the care instructions say machine washable but i wouldn't put it in the washing machine again. especially since i often have to wash clothes twice in the washer i use because it's so old and barely agitates. would love this if it was made a little be,Dresses
-1,This dress is so short! i double checked to make sure i didn't get a petite by mistake.  i'm 5'10 and ordered an extra small because of the deep v neck. it fit well on top  but  you could see my underwear in the front. seriously  i dont even think miley cirus would wear it that short. the lace was really beautiful so i was disappointed that it didn't work out.,Dresses
-1,The cut of the top portion of the dress is off. i tried on the s in-store & it bunched up in the breast area. i ordered a sp hoping the petite would fix the problem - nope - still bunched up. for reference i am a 34b. i would have kept the dress and given 5 stars if it wasn't for said flaw.,Dresses
-1,I was very shocked to receive this dress with a rusty zipper  looks like crusty white rust . see attached pictures. the dress fabric is very nice and i did try it on and it is a very nice fit  lined with a little stretch but my gosh what a cheap poor quality zipper that looks like it was old and exposed to moisture because the metal parts have a white crusty substance! retailer you really need to check your merchandise before sending to your loyal customers. lately the quality has been declining a,Dresses
-1,"I really wanted to love this dress. i bought it for a photoshoot that will be outdoors  and thought that the green color would be perfect. it is well made  but the fabric is lighter than expected. the biggest issues was the size. i am 5'7"" and typically a size ten. i ordered the ten and it fit like a 14-16. it was huge. if you order this  i would say size down two sizes.",Dresses
0,I wanted to love this dress. i pre-ordered it and waiting 2 weeks for it arrive. when it arrived the dress was much more pleated than i thought. i'm not sure if i misunderstood the images  but i did not know the dress was going to being pleated all over  i just thought that the fabric had a texture. the print is adorable but the shape of the dress was not flattering on me. i am pretty straight down with somewhat wide hips  but the fabric of the dress made me look larger than i am. i think this w,Dresses
0,I love this dress but when i put it on i was aghast! the chest was tight and the body was voluminous!! added the pounds which no wants! best left to the waify girls.,Dresses
0,This is a pretty dress  but it runs at least one size too large. the silk is of good quality. it would be good for somebody who is slim and tall.,Dresses
0,I loved this dress the minute i tried it on and am actually really sad that i had to return it. however  the embroidery was unraveling in several places before i'd even worn it  so i thought it would probably only get worse. too bad because it's gorgeous and flattering!,Dresses
0,I love all whimsical prints and shirtdresses and wanted so badly for this to work!  i'm an athletic person with more of a pear shape so a-lines really work for me.  i got my usual size 2 in this dress  and while i felt like the waist was true to size  the top gapped so badly (i'm a 32b) that i had to return the dress.  a tailor probably could have done something to it  but i decided i did not want to mess with the extra expense.  too bad  because the fabric is a lovely weight  the length was per,Dresses
0,This dress is really attractive in terms of the pattern and the neckline. but the dealbreaker for me was the lack of darts in the back hip area--so that the stretch fabric really hugs the full curve of your booty. a size larger gave me bagginess in the top and a still snug fit in back that i just didn't feel comfortable about. some darts could have made a nicer fit here. but this is a a great dress if you don't mind a super body con fit.,Dresses
0,I loved this dress  i usually wear a petite but went with regular based on the reviews. i workout and it was snug on my arms.. fabric felt great  loved the fringe.. just a but snug in the arms for me.,Dresses
0,"I was really excited to receive this dress but was disappointed that it really wasn't that special. i'm 134 lbs  5'5"" and i ordered a regular size s and it did fit. i prefer my dresses right above my knees but this was probably 2 inches above the knees. it just wasn't that flattering nor worth the price. i expected to be wowed but wasn't!",Dresses
0,"This dress does run a tad small. for me it was small across the chest and i did have to shimmy into it. i am 5'6""  110 and got size s. if i had gotten the m it would have looked a tad frumpy (on me). pretty  but wasn't happy with the fit aside from that the ""line""separating the top from the bottom was rather high for me and it seems that it was not really intended to be an ""umpire"" waist. i tried a belt with it and at my natural waist left the line uncovered several inches up toward my chest. i",Dresses
1,The photo of this dress does not do it justice. this dress is absolutely gorgeous. the construction is very high quality. i always worry about peekaboos with button front dresses as i am very busty. total non-issue with this dress. the petite fit is also spot on. it is slightly large in the back bodice for me  but i always have that problem. it's an easy tailoring fix.  i think i'm in love with byron lars <3,Dresses
1,I love this dress. i've received compliments from everyone. it's long enough to feel appropriate for work or teaching in sunday school - and  it's beautiful!,Dresses
1,I love the colors on this dress  very nice on a pale skin. i ahd this in my wish list for so long  and it finally went on sale. i ordered it and was very pleased. only drawback is the collar was a little irritating (but i am ok with it). it fits like a glove (o)  i didn't think it would as there are no petites  but that worked for me  the lace pattern is classy. and the hem is totally fun. great purchase (maybe petite would not have bothered my neck).  115 lbs  30 dd  26.5 in waist,Dresses
1,Recently wore this lovely dress during business trip - was stopped four times while walking thru orlando airport. the design is extremely comfortable  the print will make you and others smile. so elegant and fun. the beading on the flowers is elegant. such a unique piece,Dresses
1,Love classical look and this dress may look great on not so much curvy shape. price is great with extra 40% off so considering to get dark red one as well now!,Dresses
1,Love this dress but wish the lining was full length - will be removing this liner and using a different slip underneath!,Dresses
1,This dress is perfection! so pretty and flattering.,Dresses
1,I ordered this online with out trying it on the store. it does hang a teeny bit loser than in the photo of the model but in my opinion doesn't look bad. plus  i'm not a model...;) what i did was put a thick belt on and it just brought the dress to a new level. love it with a belt. i am an art teacher and it was perfect for work and then going out after with friends. (the school is not secular so the skirt must be long enough (it hit right above my knees in the front) as well as the sleeves) i ag,Dresses
1,This dress is easy to dress up or down  and is very comfortable.,Dresses
-1,I loved the way it looks on. fit tts. only problem for me was it was so itchy. there is that small amt. of wool in it. if you have any problem with wool this may not work for you,Fine gauge
-1,I tried on this sweater...love the flowing top  and it looked like the seam would hit right under my bustline.  wrong.  the seam came right across my bust on a medium; sized up to a large  same thing. this shouldn't happen! not sure who this would actually flatter.  the sweater is high quality  and the colors are perfect. the fit needs work.,Fine gauge
-1,"The photos online make it look like a comfortable  relaxed  lightweight early fall/spring cardigan. when it arrived it looked very wrinkly and there is no ""shimmer"" as far as i can tell. i tried using my steamer to get some of the wrinkles out  but it didn't work. it looks too rumpled and i don't want to wear something that looks like i just rolled out of bed.",Fine gauge
-1,"I had high hopes for this sweater and when i found it on sale online  i jumped at the opportunity. i am 5'11""  slender and always wear a small in retailer tops. i purchased this in the mint   size small and as soon as i opened the bag  i had doubts. the fabric is terrible  thin and scratchy. it is not soft and supple as i had imagined. the mint color looks faded and the shape is awful. the length of the arms hits in a bizarre spot  the overall length of the sweater cuts me off at the torso and the",Fine gauge
-1,I couldn't wait to try this on this sweater.  sadly  it was too large in all ways.  the sleeves are adorable  but the ruffle overwhelmed my arms. this was much longer on me than the model.  it stopped mid-thigh.  the quality seemed fine  but it is a thin sweater.,Fine gauge
-1,This sweater looked so promising with the tie waist and pretty lacy edging  but turned out to be a disappointment. it was much shorter than it looks in the photos and barely came to my hips. and the plum color was much darker than i expected  more of a dull brownish-burgundy.,Fine gauge
-1,I agree with the other reviewer about the great colors  but when i took this off the rack to try one  you can see through both layers of fabric. i thought  insulting quality  for the price. i imagine the holes would start after one wearing.,Fine gauge
-1,Runs small. arms very short and hits in the wrong place across your chest. would not recommend.,Fine gauge
-1,The photo misrepresents how large this sweater is. it is giant! petite ladies stay away from this sweater. i ordered an xs and usually can manage to fit in a regular xs  but this just floored me. the neckline wouldn't even stay up on my upper body  it was that loose. also the width of the sweater does not at all hug the body as shows on the model. it is like a tent. i'm so bummed. the color blue is nice and the sweater is really soft. it's too bad it doesn't fit smaller women.,Fine gauge
0,"Tried this on in the ""onsie"" area of retailer store. i usually am between a medium and a large. the medium fit fine. the material in this top is substantial - very thick and soft but it is very thick as a warning. more for a pretty cool spring evening vs the heat of the summer in chicago. not sure how much the material would stretch out either. as it seems like it could be the type. also  it is dry clean only  and on such a casual top  that is a real deal killer for me.     regarding the style of",Fine gauge
0,I didn't realize it had a tie around the waist. it seems too much material hanging in the front to tie at the waist. unfortunately the sash is attached and cannot be removed. it's very cute; just not for me.  i will have to return (but sure i can find something else)!,Fine gauge
0,First of all i love cashmere so by default i love this sweater shawl. the photos are a bit odd because you can wear it two different ways. if you wear it so it's long in front then the back comes up a bit higher and vice versa. my only big complaint is that i've worn it twice and there's already a large hole in the arm seam. poor construction which is disappointing. hopefully mine was a one-off. i'd recommend it but definitely wait for a sale.,Fine gauge
0,I really wanted to love this sweater after reading the reviews but when i received it i was sadly disappointed. it is pretty boxy and not much shape. could be cute for casual outfits but i was looking for some dressier sweaters.,Fine gauge
0,Without seeing the 'online exclusive' notation  i went into my local retailer store to try on this sweater because sometimes i wear small and sometimes a medium. once the very helpful retailer employee looked it up and advised they don't carry it in stores  i ordered it at the check-out desk in a size medium. i was so excited with anticipation because i love stripes and i love the color gray... this sweater was right up my alley. i was very disappointed when i decided to return it. first of all  i d,Fine gauge
0,I love this sweater  so why a lower rating? while i love the material and the color  it lost all of its shape before i even left the house! i am a size 6 / small and it looked clownish on me before i ever got to my dinner party.  i plan to wash it this evening and i really hope that this brings it back to its original shape and keeps it.,Fine gauge
0,Snags very very easily.  i hadent even gotten to take the tags off and it rubbed against another item and snagged! so disappointed as it is a beautiful top  lovely color and beautifully detailed! i'm so disappointed i was hoping to keep it but will be sending it back.,Fine gauge
0,This jacket is extremely soft and comfortable  with a heavier textured fabric. i think it is expensive for what it is--$138--probably best to wait for a sale,Fine gauge
0,Bought this item on sale and was very disappointed in the quality for the cost. fabric feels cheap  like it will snag easily and will stretch out quickly. did not flatter the female form- felt like a burlap sack. gorgeous blue color but not worth the price tag. returned it.,Fine gauge
1,This is an awesome pointelle sweater. i love angel of the north sweaters. i bought the small (34b) and it fit tts. the pleats in the back hang without pulling. it also flatters the figure with it's shaping. it is a lightweight sweater in a great shade of red. just love it!,Fine gauge
1,I passed this over on first sight because it looked like it might be on the short side in length. after seeing a few other photos and reading the reviews  i opted to give it a go. the store did not have my usual xs or even a size small  so i tried on the medium. it was too wide as expected  but the shoulders are adjustable so i fiddled with it a bit and decided it was really cute. there were no more xs available to order so i asked if the store could order the small. it arrived and is absolutely,Fine gauge
1,"This sweet little number in the mustard yellow has become my fall and winter ""go-to"" sweater. so easy to wear  understated and a bit retro. looks great tucked into skirts or high-waisted jeans  or out  and the subtle shift in textures is a nice detail. highly recommend  and a great price point!",Fine gauge
1,This cardigan is just the right length  i.e. not too long as so many are these days. but the sleeves are ridiculously long. will have to shorten them for sure. fabric is definitely not heavy. pretty color. i do like it overall..,Fine gauge
1,I love this tank  it is casual and comfortable  but has the little scarf attached to it  so sweet and styling. i tried on the xs regular  and would need petite  it was a bit long on me  but some people may prefer that. i also wonder about getting xxs only because it is a looser-fit tank. both colors are nice and neutral  good piece to add to a transition wardrobe. (115 lbs  30 dd  26.5 in waist),Fine gauge
1,I love this top  it's design is very pretty and like nothing that i have. i think this top runs true to size  i'm usually an xs/s in tops and i went with the s for this one and it fits great. i will say that the top layer of material will snag very easily  so while wearing it you have to be very careful!!,Fine gauge
1,"Love this sweater! it's really flattering  long and lean  though not tight  just the right amount of shape and length for my size. i run between and 8 and a 10  and i'm about 5'8""  i ordered the medium. i love the contrasting knits of the sleeves and body of the sweater. i only wish it came in more colors  i'd order it again!",Fine gauge
1,Cool color  great feel to this sweater. nice with jeans  skirts  etc. very cozy to wear. i just want to keep grabbing it every morning.,Fine gauge
1,I tried on the white top at the store. the quality was very good and i loved the overall concept of the design. the dark stripes on the back are slightly raised  giving it a nice texture. the fabric was soft and comfortable. however  the shape just didn't drape as well on me as i had hoped  so ultimately i didn't buy it. perhaps a petite length would have fit me better.,Fine gauge
-1,Material is strange. triangle top is funky. this is just not awesome in any way.,Intimates
-1,You have to be a contortionist to get this bra on. it slips over your head and i needed my 8yo daughter to help me pull it down past my elbows. ridiculously impractical. why oh why didn't heather give it a hook and loop closure instead?,Intimates
-1,I am pregnant and i thought this would be a great sleep bra. it's soft and fits okay  but it has zero support or shape. i would only buy if you are a b cup or smaller and can get away without support. if i would have seen this is the store  i would have passed over it. however  i was too lazy to return so i am wearing it. it's comfortable so that's a redeeming quality. i would not recommend for larger chested ladies  though!,Intimates
-1,This could have been an amazing chemise but it is too short even for bed- perhaps it could be used for a tank. i am 5'3 but do have a long torso. it did not fully cover my booty.,Intimates
-1,This bra runs very small  and is hard to get on and off. i think if i went a size up i would be happier.,Intimates
-1,Fun  sexy underwear but rides up in the front. will return,Intimates
-1,3 tags - one quite huge (about 2'' by 3'') - very itchy. so i cut out the tags and they are sewn with some kind of hard poky plasticy thread - now even more itchy! i will have to wear these inside out.,Intimates
-1,It seemed to stay in place and did not require constant readjustment. however  i found the band to be extremely small and tight. it is not the most comfortable bra because of the way the band just presses into your skin.,Intimates
-1,The bra is comfortable and the design is good. however  the sizing is way off. i am a 34c and the small fits well with minimal support. not sure about quality. this one might have to go back :(,Intimates
0,"The fit is gorgeous  but i didn't realize it was completely transparent. when it says ""mesh"" it means ""mesh""! i was thinking the ""mesh"" part was on the bottom. because of how it is cut  high on the shoulders  you can't wear a cami underneath to provide coverage. very cute  but not practical.",Intimates
0,This is pretty and provides coverage with a bit of support for wearing around the house. i'm a 34b so i ordered the small- it still had room in it so i tightened the straps and used the tightest hooks on the back  and that makes it fit ok. i bought it just to wear at home since i was not expecting a great deal of support or shaping  and while it feels ok it is not super-comfy- it's a bit scratchy around the edges. i was going to buy another color if i loved this  but as it is i will keep the one,Intimates
0,Got this in the mail today and while the design is cute  it's not as soft and comfortable as i would like. the front clasp takes a bit of practice to get on and off. the straps are a bit thin and hurts a bit.,Intimates
0,I'm a 32-a  and i bought a small. i found that the tube portion is pretty tight  but probably needed to keep things up. because there is not a clasp in the front or back  it is really hard to get in and out of. i'd probably be ok with it  but the cups were too big for me. i think i would need to be a c to fill it.  the quality is really nice and the molded cups are a good shape. i wish i could have made it work  because it was really comfortable. i returned it in the end.,Intimates
0,It is a very pretty bra. light weight and beautiful lace. however  i have yet to find a t-back that does not make me feel like i am going to spill out. to me it ran small. i now know to get a 34 instead. i am working on losing weight  perhaps that might help with the fit?,Intimates
0,I ordered this in black and white  thinking you can never have enough silk camisoles.     i returned the black because it looked like polyester. the white is actually a cream/ivory  not bright white as pictured. it is also not the best feeling quality  however the fit is good  and true to size.,Intimates
0,This is a very nice bra  upset though because this is the second time i have ordered something from retailer and the place that the product was made was incorrect on the website. bra was made in peru and website said usa. makes it very hard to be socially responsible on this website. not sure i will continue to shop retailer in the future because of this.,Intimates
0,I wanted to love this set  but sadly it just didn't fit as i had hoped. the small was bigger than expected and looked frumpy and not sexy. returned.,Intimates
0,I wanted to love these because they are so pretty and come in lots of colors  but after only a few minutes of wearing them  i was having to pull them out of my bottom! why does women's underwear so frequently ride up? i normally wear a size 4/28  and ordered these in a m  but i guess they were still too small  which seems unreasonable to me. they are soft and pretty  but i will not be ordering more.,Intimates
1,This fit perfectly. i am 5'7   138 pounds and ordered a small. i was very pleased with the way it draped over my body. i bought the black one.,Intimates
1,This is a beautiful piece for the price. very well made and flattering. i'm a 34c and usually wear a size 2-4 on top and solid size 4 on bottom. a size small in this fit great. it does not provide any support up top though so be aware of that.,Intimates
1,I purchased this tank for the interesting open neck not realizing that the straps are elastic. i love it. the material is super soft and it fits nicely. snug but not too tight. the straps are wide enough to cover bra straps and the neckline being a little wider is really flattering. i got the black one but i am going to get more colors! great buy!,Intimates
1,Oh how i love this bra!! its so comfortable and very flattering. i find that many bralettes totally flatten me out but this one does not. and the floral lace here is just beautiful. the daisy-type flowers look so cute and feminine! i've got it in so many colors now. for sizing  i'm 34b and the s/m fits great.,Intimates
1,"Beautiful pajama bottoms. i purchased these as a special treat for myself. luckily  i found a review on another site  stating that these run small  before pirchasing. no one wants tight pjs. order a size up! also  i'm 5'8"" tall and the length is just right. if you are taller  you may find this style too short. i haven't ordered the top  because i'm not sure of the fit  but i'm guessing it also runs small  based on the photo.",Intimates
1,I really love this camisole  but it's shorter than i expected.,Intimates
1,Beautiful nightie- looks like its really well made and fits really well. i'm normally a size 6-8 and the m was perfect. definitely recommend.,Intimates
1,I bought this to wear with a skirt that i wanted to dress down - i needed something that was long enough to be able to tuck it in without having that awkward line. its a great fit.,Intimates
1,The design is gorgeous and the fabric feels great. not a lot of functionality  then again i did buy the kimono to feel sexy and not to keep warm! i ordered the xsmall/small and feel i should have ordered the med/large. unless you're super tiny/fit  i'd recommend sizing up here. i bet it would still be super flattering a touch larger!,Intimates
-1,"Beautiful fabric with soft drape. unfortunately the ""captain kangaroo"" pockets are awful. unless you have a straight up and down shape with no hips this is very unflattering. the pockets look like saddle bags and add a huge amount of fabric where most people don't want added bulk. very disappointing. returned.",Jackets
-1,Loved the design but jacket looked like 20 years old because of a lot of piling even brand new jacket at store. i wish they use better quality fabric so i would have purchased it.,Jackets
-1,I feel in love with this piece. the color are gorgeous and i received so many compliments. it lifted my mood just wearing it! sadly  ut the end of the first wear i had a run up the front and by the middle of the second wear the light fabric got caught on something and a hole developed. upon further inspection i found another hole at the top where the price tag must have been attached. i also noticed all over pilling after the first wear! so sad! they should recreate this in a heavy fabric.,Jackets
-1,I love the photo of this and because the reviews were so positive i ordered it. i was shocked when i opened the package. first  the fabric is not the silky rayon cotton blend i was expecting. it looks and feels more like a cheap cotton. it does not have the drape or feel or look i expect in a kimono  which brings me to the second disappointment. it is not a kimono at all. it has no kimono sleeve  no sleeves at all in fact. just a slit in the side of the body of the garment you put your arm throu,Jackets
-1,"When i saw this jacket in store  i fell in love with it. the colors with the quilting and gold studs are gorgeous. i am 5'3"" 130# 36dd with petite frame. i tried a m on in store and the sleeves were super long and wide. the s was too small across chest and hung open oddly. the jacket is a nice heavy weight and great quality. i ordered a petite m and it was no better. i literally looked like a big marshmallow...a linebacker! the sleeves were so unflattering where it looked like i was wearing pvc",Jackets
-1,This jacket was cute  however  i am normally a large with a bit of room to spare.  this has the irritating issue of not fitting under the arms and across the chest and shoulders.  it is not my shape as most other brands at retailer fit me. this jacket is not sized correctly.,Jackets
-1,"The fit is so bad and the construction is very poor. i'm 5'1''  100 lbs  ordered xxs petite.     first of all  when i button this  there is extreme gaping going on. the vest runs narrow  yet tall?it shifts up my torso if i move at all  making the gaping even worse.    the ""skirt"" at the bottom is made of a very cheap  thin  slightly sheeny material that you would find at a flea market. it arrived unbelievably wrinkled and crumpled  and it was just so thin. it did not meet as closely in the middl",Jackets
-1,I was leery of purchasing this blazer online without any reviews to read...and now i know better. the color and fabric are nice and what you would expect from the photos. the sleeves  however  ran small compared to the body. the shoulders also pulled and felt narrow compared to the torso. the body the opposite...too large and not flattering on an hourglass figure...no darts  no fitted places  nothing making it tailored to fit. open it hung wide with an unflattering silhouette. buttoned  it sprea,Jackets
-1,This is a beautiful vest. i love the color-blocking  the modern and structured style  and its versatility.  i bought it with a defective item discount because there were some stains. i promptly took it to the dry cleaners and was informed that the black would bleed onto the white paneling if they did a full wash. they spot-cleaned it  and it did bleed. although the tag says to dry clean this baby  the black dye will bleed to the white fabric. i'll be taking it back into the store today for a ref,Jackets
0,Looks so cute in the picture  but just didn't really look that flattering on - plus the sleeves were too tight and too long for my short arms so going back....,Jackets
0,You guys  i love this so much! however  within one hour of wearing it  the back seam completely ripped. it fit me perfectly... sadly i&#39;ll have to return the damaged item. really sad it&#39;s all sold out too!,Jackets
0,I tried this on in the store yesterday and i wanted to buy it very much. the jacket would work well for many sleveless tops or dresses all summer  and would work in an office. but  on me  the unusual cut of the arms emphasized the worst part of my arms (saggy or fat area) in a comical manner. if they tried to design a garmet to make arms look bad  the couldnt have done it better. further  the extra material against the body added bulk at my narrowest point (i am hourglass). again  not flattering,Jackets
0,This blazer is a nice weight for summer. it is more terracotta than rose  but is still a nice color. the fit is tts and flattering. however  the buttons were almost falling off the one i received. i didn't take this as a sign of great quality and plan to return it.,Jackets
0,I'm 5'6''   athletic build-thought it was cute but in the end didn't like the color of the inner sweatshirt--wish it was black or white. send it back.,Jackets
0,The color and design/style are cute but i found this to be too oversized. if you want to layer it  then it might be for you  but i was hoping for more of a tailored look.,Jackets
0,If you have any curves at all then this will look like a sack on you. i wanted to love it because of the material and i've been looking for a blazer/ jacket that was heavy in weight. this just looked awful on me. maybe for someone who is very slender this will work but i was highly disappointed in the cut.,Jackets
0,Has i read the reviews would have realized the t-shirt looking sleeves in the pic are attached to the sweater. based on the pic and site description i didnt realize they were attached. i thought it was part of the styling of the undershirt. i think this very much limits the versatility of the sweater. i ordered the white which is a beautiful color and very soft. i am returning it cause i do not like the t-shirt sleeve. would rather have the flexibility to layer whatever shirt i wanted,Jackets
0,This design looks really sharp on the image  but in reality this jacket felt more like a jacket you would get at forever xxi.  the fabric had that polyester/shiny quality to it that made it look cheap.  since the fabric was pretty soft  with a gray jersey lining  it felt more like a padded jacket than a constructed blazer.      i also thought the cut was small if you have a bust larger than a b  i felt like i was busting out of a size 8  and i am a 34d.,Jackets
1,This jacket is really cute. i tried in in a large in the store and was too big so i took a chance and ordered medium on line. i have broad shoulders so i was a bit worried. it's perfect. very fitted and cropped. but will look great to throw on over a dress. for reference i'm 5 foot 6 inches and a 34 c. 132lbs. slender but athletic. medium was perfect.,Jackets
1,"This jacket is so great! i've gone through a few seasons now trying to find that one perfect little olive green jacket. this one wins! the color is nice and saturated. the fabric is soft and drapey so it's still flattering to my shape. it's slightly relaxed and i think it creates an ""easy"" look. i've already worn this with a dress  and it will finish off many other looks in my closet! yea! i'm 5'6""  138 lbs and took a medium.",Jackets
1,I ordered this online  but i own the vest and i love it  so i took a chance. this is a super comfy  great quality jacket. the sleeves are some kind of knit material and that makes it really cozy and not constrictive. the color  i ordered the green  is perfect. i ultimately returned the jacket because i thought the lapels were just too wide for my liking. they look exactly like the picture so if you don't mind that  you will probably be very happy with this jacket. it just wasn't for me. i ended,Jackets
1,The only thing i didn't like about this is i wish it was a little bit shorter  but otherwise great! throw it on with pants and add a bit of color and spring/summer'ness to your outfit!,Jackets
